Date,Open,High,Low,Close,Adj Close,Volume
2023-01-24,66.449997,67.760002,66.010002,66.959999,66.737366,2154600
2023-01-25,66.110001,67.129997,66.080002,67.010002,66.787209,1335000
2023-01-26,66.949997,67.830002,66.339996,67.250000,67.026405,1813600
2023-01-27,67.050003,68.000000,66.849998,67.660004,67.435043,1169500
2023-01-30,67.040001,67.919998,66.459999,66.500000,66.278893,1584600
2023-01-31,67.400002,69.570000,67.400002,69.570000,69.338692,2890200
2023-02-01,69.279999,71.589996,68.559998,70.989998,70.753967,3580300
2023-02-02,72.000000,73.900002,71.820000,73.209999,72.966591,3566300
2023-02-03,71.410004,72.470001,71.040001,71.510002,71.272240,4770200
2023-02-06,70.779999,70.980003,70.120003,70.290001,70.056297,2106400
2023-02-07,70.000000,71.209999,69.440002,71.040001,70.803802,3789300
2023-02-08,70.459999,70.599998,69.209999,69.470001,69.239029,2226500
2023-02-09,70.209999,70.730003,69.129997,69.250000,69.019753,2687200
2023-02-10,68.970001,69.750000,68.809998,69.440002,69.209129,1817700
2023-02-13,69.519997,71.080002,69.180000,71.080002,70.843674,2249500
2023-02-14,70.309998,71.160004,69.779999,70.529999,70.295502,2210100
2023-02-15,69.879997,71.019997,69.620003,70.809998,70.574570,2091300
2023-02-16,69.500000,70.349998,69.099998,69.820000,69.587868,2769100
2023-02-17,69.230003,69.389999,67.720001,68.650002,68.421753,3485200
2023-02-21,67.180000,67.879997,65.879997,65.919998,65.700829,4967100
2023-02-22,66.410004,67.139999,66.250000,66.580002,66.358635,3168600
2023-02-23,66.860001,67.519997,66.209999,67.389999,67.165939,2891800
2023-02-24,66.070000,67.110001,65.830002,66.849998,66.627731,3816000
2023-02-27,67.760002,67.940002,66.940002,67.269997,67.046333,2500400
2023-02-28,67.070000,68.050003,67.070000,67.669998,67.445007,2149500
2023-03-01,67.290001,67.900002,66.839996,66.889999,66.667595,3319100
2023-03-02,66.220001,67.510002,65.949997,67.279999,67.056297,2804000
2023-03-03,67.989998,68.790001,67.519997,68.540001,68.312119,2063900
2023-03-06,68.550003,68.779999,67.489998,67.699997,67.474899,2102200
2023-03-07,67.919998,68.180000,67.129997,67.150002,66.926743,2192300
2023-03-08,67.559998,68.180000,67.019997,68.169998,67.943344,2505100
2023-03-09,68.320000,69.080002,67.570000,67.620003,67.395180,6873600
2023-03-10,67.519997,68.050003,65.599998,66.349998,66.129395,5692700
2023-03-13,65.790001,67.449997,65.279999,66.540001,66.318771,9433000
2023-03-14,67.300003,68.150002,66.800003,67.610001,67.385208,3198200
2023-03-15,67.050003,68.239998,65.879997,66.800003,66.577904,4480800
2023-03-16,66.570000,68.690002,66.260002,68.339996,68.112778,3232000
2023-03-17,67.980003,68.470001,67.349998,67.739998,67.514778,2927500
2023-03-20,67.910004,68.550003,67.510002,67.879997,67.654312,2169200
2023-03-21,68.680000,69.110001,68.190002,68.570000,68.342018,2588500
2023-03-22,68.290001,69.250000,67.510002,67.550003,67.325409,2228800
2023-03-23,68.169998,69.169998,67.110001,67.639999,67.555115,3946800
2023-03-24,67.330002,68.260002,66.440002,67.980003,67.894691,2340900
2023-03-27,68.349998,68.489998,67.529999,67.760002,67.674973,1395800
2023-03-28,67.580002,68.519997,67.580002,68.050003,67.964607,1219000
2023-03-29,68.459999,68.709999,67.800003,68.489998,68.404045,1631700
2023-03-30,68.709999,68.949997,68.220001,68.379997,68.294189,1218600
2023-03-31,68.809998,70.320000,68.599998,70.290001,70.201790,2051400
2023-04-03,70.050003,70.739998,69.949997,70.510002,70.421516,1733500
2023-04-04,70.720001,70.720001,68.870003,69.250000,69.163094,1781300
2023-04-05,69.260002,69.339996,68.349998,68.800003,68.713661,2026500
2023-04-06,68.650002,68.650002,67.250000,67.910004,67.824783,1761300
2023-04-10,67.750000,68.849998,67.440002,68.589996,68.503922,1500900
2023-04-11,69.169998,70.620003,68.959999,70.309998,70.221764,1854300
2023-04-12,71.059998,71.139999,69.949997,70.150002,70.061966,1591800
2023-04-13,70.300003,70.610001,69.459999,70.120003,70.032005,2490000
2023-04-14,70.180000,70.650002,69.870003,70.370003,70.281693,1605600
2023-04-17,70.419998,71.120003,70.239998,71.089996,71.000786,1776800
2023-04-18,71.559998,72.809998,71.489998,72.720001,72.628746,2120600
2023-04-19,72.169998,73.019997,72.050003,72.919998,72.828491,2465100
2023-04-20,74.000000,75.220001,73.860001,74.180000,74.086914,4800700
2023-04-21,74.120003,74.589996,73.440002,73.919998,73.827232,2664600
2023-04-24,73.830002,74.650002,73.720001,74.620003,74.526360,2044000
2023-04-25,74.599998,74.930000,73.769997,73.790001,73.697403,1915300
2023-04-26,73.410004,74.019997,72.269997,72.440002,72.349098,2443400
2023-04-27,72.580002,74.470001,72.580002,74.470001,74.376549,2351700
2023-04-28,74.650002,75.879997,74.489998,75.790001,75.694893,3034600
2023-05-01,75.699997,76.169998,75.000000,75.169998,75.075668,2366100
2023-05-02,75.150002,75.260002,73.820000,75.080002,74.985786,2362500
2023-05-03,75.519997,77.019997,75.370003,75.760002,75.664932,2391600
2023-05-04,75.540001,75.980003,74.360001,74.500000,74.406509,2215300
2023-05-05,75.470001,75.669998,74.510002,75.510002,75.415245,2145600
2023-05-08,75.620003,76.029999,75.050003,75.949997,75.854683,2085800
2023-05-09,75.889999,76.620003,75.650002,75.989998,75.894638,1389200
2023-05-10,76.860001,76.860001,75.169998,76.029999,75.934586,1849400
2023-05-11,75.870003,76.250000,75.529999,76.120003,76.024475,1198100
2023-05-12,76.349998,76.639999,74.930000,75.669998,75.575035,2348500
2023-05-15,75.720001,76.220001,75.160004,76.059998,75.964546,2011300
2023-05-16,75.230003,76.190002,74.540001,75.970001,75.874664,2604300
2023-05-17,76.029999,76.889999,75.830002,76.769997,76.673660,2113600
2023-05-18,76.459999,77.790001,76.309998,77.690002,77.592506,2567200
2023-05-19,77.839996,77.839996,75.860001,76.269997,76.174286,2774100
2023-05-22,76.309998,76.889999,75.080002,75.110001,75.015747,2210500
2023-05-23,74.720001,74.720001,73.410004,73.599998,73.507637,3846100
2023-05-24,73.889999,74.389999,73.459999,73.669998,73.577545,2580100
2023-05-25,73.970001,74.680000,73.669998,73.959999,73.867188,3388300
2023-05-26,74.169998,74.209999,73.239998,74.050003,73.957077,2748800
2023-05-30,74.440002,74.639999,73.900002,74.169998,74.076920,2075700
2023-05-31,73.790001,74.110001,72.480003,73.160004,73.068192,2613400
2023-06-01,73.120003,74.279999,72.849998,74.180000,74.086914,2272800
2023-06-02,74.750000,77.050003,74.650002,76.970001,76.873413,3280600
2023-06-05,76.690002,76.779999,75.699997,76.489998,76.394012,1376800
2023-06-06,76.400002,79.050003,76.400002,78.889999,78.791000,3377200
2023-06-07,78.989998,80.070000,78.750000,78.989998,78.989998,2908300
2023-06-08,78.910004,79.519997,78.620003,78.730003,78.730003,1856200
2023-06-09,78.669998,79.269997,78.220001,78.760002,78.760002,2292500
2023-06-12,79.000000,80.330002,78.389999,79.889999,79.889999,2411400
2023-06-13,80.220001,80.919998,80.120003,80.419998,80.419998,1989100
2023-06-14,80.400002,81.099998,79.019997,79.220001,79.220001,2707900
2023-06-15,80.169998,81.000000,79.620003,80.809998,80.809998,2678000
2023-06-16,81.040001,81.580002,80.430000,80.730003,80.730003,1716100
2023-06-20,80.889999,81.910004,80.580002,81.540001,81.540001,2180400
2023-06-21,81.269997,82.300003,80.800003,82.019997,82.019997,2027400
2023-06-22,81.620003,82.010002,81.220001,81.839996,81.839996,1036400
2023-06-23,81.629997,82.440002,81.529999,82.230003,82.230003,1297900
2023-06-26,82.400002,83.379997,82.019997,82.269997,82.269997,1121000
2023-06-27,82.589996,85.050003,82.510002,84.879997,84.879997,3295700
2023-06-28,84.860001,85.459999,84.480003,84.669998,84.669998,2895900
2023-06-29,84.449997,84.750000,83.879997,84.720001,84.720001,2765300
2023-06-30,85.239998,85.800003,84.860001,85.440002,85.440002,2547600
